simplified,traditional,pinyin,english
山,山,shān,mountain
口,口,kǒu,mouth
木,木,mù,tree
人,人,rén,person
亻,亻,rén,person (radical)
火,火,huǒ,fire
灬,灬,huǒ,fire (radical)
日,日,rì,sun
月,月,yuè,"moon, flesh (radical)"
门,門,mén,door
女,女,nǚ,woman
水,水,shuǐ,water
氵,氵,shuǐ,water (radical)
玉,玉,yù,jade
牛,牛,niú,cow
豕,豕,shǐ,pig (radical)
豬,豬,zhū,pig
宀,宀,mián,roof (radical)
林,林,lín,woods
森,森,sēn,forest
呆,呆,dāi,idiot
杏,杏,xìng,"apricot, almond"
本,本,běn,origin
从,从,cóng,to follow
众,众,zhòng,crowd
大,大,dà,big
囚,囚,qiú,prisoner
炎,炎,yán,burning hot
焱,焱,yàn,flames
焚,焚,fén,burning
旦,旦,dàn,sunrise
出,出,chū,get out
问,問,wèn,ask
明,明,míng,bright
白,白,bái,white
闪,閃,shǎn,dodge
东,東,dōng,East
间,閒,xián,leisure
来,來,lái,to come
天,天,tiān,sky
夫,夫,fū,man
们,們,men,indicates plural
伙,夥,huǒ,dude
间,間,"jiān, jiàn",space
闩,閂,shuān,bolt
朋,朋,péng,friend
查,查,chá,to check
休,休,xiū,rest
品,品,pǐn,variety of quality
昌,昌,chāng,prosperous
唱,唱,chàng,sing
未,未,wèi,not yet
末,末,mò,the end
沐,沐,mù,wash
淋,淋,lín,drip
沫,沫,mò,foam
泊,泊,bó,anchor
淡,淡,dàn,"weak, tasteless"
渣,渣,zhā,waste products
体,體,tǐ,body
保,保,bǎo,to protect
太,太,tài,extreme
王,王,wáng,king
玉,玉,yù,jade
珏,珏,jué,two pieces of jade
珀,珀,pò,amber
主,主,zhǔ,master
柱,柱,zhù,pillar
住,住,zhù,to reside
宝,寳,bǎo,treasure
全,全,quán,whole
国,國,guó,country
淼,淼,miǎo,a wide expanse of water
肤,膚,fū,skin
胆,膽,dǎn,"courage, gallbladder"
囡,囡,nān,daughter
因,因,yīn,to cause
困,困,kùn,to surround
如,如,rú,to obey
姻,姻,yīn,marriage
安,安,ān,peaceful
牢,牢,láo,prison
家,家,jiā,home
板,闆,bǎn,boss
屾,屾,shēn,two mountains
岩,岩,yán,rock
崩,崩,bēng,rupture
啖,啖,dàn,to eat
宋,宋,sòng,"dynasty, surname"
伞,傘,sǎn,umbrella
早,早,zǎo,"early, morning"
宣,宣,xuān,to proclaim
伙,夥,huǒ,group
入,入,rù,to enter
火山,火山,huǒshān,volcano
大火,大火,dàhuǒ,big fire
火大,火大,huǒdà,angry
問出,問出,wènchū,to ask
本人,本人,běnrén,one's self
白白,白白,báibái,in vain
大门,大門,dàmén,front door
门口,門口,ménkǒu,"doorway, entrance"
山东,山東,Shāndōng,Shandong Province
女人,女人,nǚrén,woman
奻,奻,nuán,argument
姦,姦,jiān,adultery
木门,木門,mùmén,wooden door
山林,山林,shānlín,scenery
山人,山人,shānrén,hermit
木木,木木,mù mù,"dull, idiotic"
林林,林林,lín lín,a great number
森森,森森,sēnsēn,dense
本月,本月,běnyuè,this month
日本,日本,Rìběn,Japan
本日,本日,běnrì,today
大女人,大女人,dànǚrén,mature woman
